メインデータの商品コード（楽天URL）,メインデータの商品名,PC用商品説明文,スマートフォン用商品説明文,楽天パソコン,楽天スマホ,Yahooパソコン,Yahooスマホ
4542320580542,粉末宇治抹茶  送料無料 訳あり  お茶 健康 ギフト プレゼント 200g 天然生活 抹茶 粉末 茶道 業務用 無農薬 ギフト ダイエット 濃茶 大容量 パウダー 抹茶パウダー 製菓用 お菓子用,"<table>
  <tr><th>■品名</th><td>宇治抹茶</td></tr>
  <tr><th>■原材料名</th><td>緑茶（国産）</td></tr>
  <tr><th>■内容量</th><td>200g</td></tr>
  <tr><th>■賞味期限</th><td>製造より常温180日(約60〜180日弱賞味期限が残ったものでのお届けとなります）</td></tr>
  <tr><th>■保存方法</th><td>高温多湿を避け移り香に御注意下さい</td></tr>
  <tr><th>■販売者</th><td>株式会社天然生活<br>〒141-0032　東京都品川区大崎3-6-4　トキワビル7F</td></tr>
</table>
<hr>
<p>■良質　京都南山城産宇治茶100％使用<br>本格的な高級抹茶をお手軽に。<br><br>徳用京都南山城産宇治茶100％　粉末宇治抹茶<br>この宇治抹茶が・・・<br>生産農家様との直接交渉の末、<br>1杯あたり12円でご提供可能に！！<br>1袋200g入りなので・・・<br>1杯80mlあたり2g抹茶を使用した場合・・・・約100杯分<br>京都産茶葉を100％使用した上質な京都宇治抹茶がこの価格！！<br><br>徳用京都南山城産宇治茶100％粉末宇治抹茶<br>およそ100杯分。1杯あたり約12円でお楽しみ頂けます。<br><br>100杯入り1杯12円（特別ルート価格）1200円（税抜）<br><br>生産家の方と直接交渉でこの特別価格が可能に！！<br>お見逃しなく！！<br><br>■TVなどで話題！！海外でもブーム！！<br>日本の伝統的味　抹茶<br>ユネスコ無形文化遺産に登録され、世界でも注目を集めている<br>「和食」。その中でも、人気なのが「抹茶」。<br>美味しいのはもちろんのこと、美容や健康に良いスーパーフード<br>としても人気が高まっています。<br><br>■その抹茶の中でも人気の高いものと言えば・・・<br>「宇治茶」<br>宇治茶は商標登録されており「京都府・奈良県・滋賀県・三重県の<br>4府県産茶を京都府内業者が京都府内において宇治地域に由来する<br>製法により仕上げ加工した緑茶」としています。<br><br>■本品は100％京都府産茶葉使用！<br>京都府南山城村産<br>村域の約4分の3は山林で占められ、平地は少なく、急峻な山間部に位置<br>する南山城村を代表する特産品が「お茶」。全国的な品評会でも高い評価<br>を得るなど、宇治茶の主産地として知られるようになりました。品質の<br>良いお茶を生み出しているのは、お茶の栽培に適した気候と土壌。この<br>地域特有の香り高く良質な高級茶を育みます。<br>江戸時代、蒸した茶の芽を焙炉（ほいろ）で乾燥させ「手で揉む」煎茶の<br>製法（宇治茶製法）が開発され、宇治茶の素晴らしさが全国的に広まり、<br>煎茶の栽培が盛んになりました。南山城村の茶葉は新鮮な色合いと爽やかな<br>味と高い香り。14年連続で農林水産大臣賞を受賞する南山城村産の品質の<br>良さを証明しています。<br>南山城村では、村をあげて茶業を振興するほど、お茶に力を注いでいます！<br><br>■その南山城村の抹茶。<br>抹茶と粉末の緑茶は何が違うの？<br>粉末緑茶が煎茶の葉や粉茶（煎茶や玉露の仕上げの過程で生じる非常に細かい<br>茶葉）を粉砕し粉末状にしたものであるのに対し、抹茶はてん茶と呼ばれる葉を<br>粉砕加工したもの。てん茶は栽培時に覆いをすることにより、煎茶と比較して<br>渋み成分が抑えられ、より旨み成分や甘み成分が強いのが特徴です。<br><br>■茶葉の栄養をまるごと。<br>抹茶は茶葉をまるごと粉砕するので、お茶の栄養成分がそのまま入っています。<br>通常の浸出液（茶葉にお湯を注いだ、一般的にいう「お茶」のこと）ではお湯に<br>溶けずに茶殻に残ってしまう成分も抹茶として飲むことで余すことなく摂取する<br>ことができます。<br><br>■栄養を逃さない！！<br>ビタミン　ビタミンA、C、Eなど美容や健康に嬉しいビタミンがたくさん。<br>ミネラル　カリウム、カルシウム、鉄、ミネラルも豊富に含まれます。<br>カテキン　渋みに関わる成分。最近はダイエット等で注目されています。<br>テアニン　うま味や甘味に関わる成分。ホッと一息、リラックスしたい時に。<br>カフェイン　苦味に関わる成分。リフレッシュしたい時におすすめです。<br>食物繊維　不足しがちな食物繊維も手軽に摂取することができます。<br><br>京都府産の茶葉100％だから、茶葉以外の余計なものは入っていません！！<br>まるごと粉末にしているので、水に溶けない成分までしっかりと摂取できます。<br><br>■お飲みいただく際の目安<br>粉末抹茶2gに対してお湯80ml<br>あくまで目安ですので、お好みに合わせて抹茶やお湯の量を調節して下さい。<br><br>■粉末なので簡単に溶ける！！<br>ホットでもアイスでも美味しい。<br>※水では溶けにくいのでアイスでお飲みの場合は、少量のお湯で溶かしてから<br>水や氷を加えて下さい。<br>粒子が非常に細かいので、のどに残らずなめらかな舌触り。<br><br>■いろいろご利用下さい。<br>抹茶オレ　牛乳と合わせてお子様でも飲みやすい。<br>抹茶アイス　アイスに抹茶を好きなだけかけて。<br><br>飲用として使うのはもちろん、製菓用、料理用と幅広い用途でご利用いただけます！！<br>ホッと一息。<br>お一人でもご家族やご友人とでもホッと一息つきたい時におすすめです！！<br><br>■どうして徳用なの？お安くご提供ができる理由。<br>?通常（一般的な商品）<br>生産農家⇒農協⇒原料問屋⇒加工会社⇒問屋⇒販社⇒消費者<br>?こちらの商品<br>生産農家⇒⇒⇒⇒⇒⇒⇒⇒⇒加工会社⇒問屋⇒販社⇒消費者<br><br>農協を通さず、生産農家さんから直接茶葉を仕入れることで、通常かかるコストをカット！！<br>安くなった分お客様へ還元！！<br>是非お見逃しなく！！</p>
","<a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a><img src=""https://image.rakuten.co.jp/shopk-net/cabinet/11370026/imgrc0102973371.jpg"" width=""100%""><center><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-1.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-2.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-3.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-4.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-5.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-6.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-7.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-8.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-9.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-10.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-11.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-12.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-13.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-14.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-15.jpg""><br><img border=""0"" alt="""" src=""https://www.rakuten.ne.jp/gold/tennenlife/item/SM00010241/SM00010241-16.jpg""></center><table> <tr><th>■品名</th><td>宇治抹茶</td></tr> <tr><th>■原材料名</th><td>緑茶（国産）</td></tr> <tr><th>■内容量</th><td>200g</td></tr> <tr><th>■賞味期限</th><td>製造より常温180日(約60〜180日弱賞味期限が残ったものでのお届けとなります）</td></tr> <tr><th>■保存方法</th><td>高温多湿を避け移り香に御注意下さい</td></tr> <tr><th>■販売者</th><td>株式会社天然生活<br>〒141-0032　東京都品川区大崎3-6-4　トキワビル7F</td></tr></table><hr><p>■良質　京都南山城産宇治茶100％使用<br>本格的な高級抹茶をお手軽に。<br><br>徳用京都南山城産宇治茶100％　粉末宇治抹茶<br>この宇治抹茶が・・・<br>生産農家様との直接交渉の末、<br>1杯あたり12円でご提供可能に！！<br>1袋200g入りなので・・・<br>1杯80mlあたり2g抹茶を使用した場合・・・・約100杯分<br>京都産茶葉を100％使用した上質な京都宇治抹茶がこの価格！！<br><br>徳用京都南山城産宇治茶100％粉末宇治抹茶<br>およそ100杯分。1杯あたり約12円でお楽しみ頂けます。<br><br>100杯入り1杯12円（特別ルート価格）1200円（税抜）<br><br>生産家の方と直接交渉でこの特別価格が可能に！！<br>お見逃しなく！！<br><br>■TVなどで話題！！海外でもブーム！！<br>日本の伝統的味　抹茶<br>ユネスコ無形文化遺産に登録され、世界でも注目を集めている<br>「和食」。その中でも、人気なのが「抹茶」。<br>美味しいのはもちろんのこと、美容や健康に良いスーパーフード<br>としても人気が高まっています。<br><br>■その抹茶の中でも人気の高いものと言えば・・・<br>「宇治茶」<br>宇治茶は商標登録されており「京都府・奈良県・滋賀県・三重県の<br>4府県産茶を京都府内業者が京都府内において宇治地域に由来する<br>製法により仕上げ加工した緑茶」としています。<br><br>■本品は100％京都府産茶葉使用！<br>京都府南山城村産<br>村域の約4分の3は山林で占められ、平地は少なく、急峻な山間部に位置<br>する南山城村を代表する特産品が「お茶」。全国的な品評会でも高い評価<br>を得るなど、宇治茶の主産地として知られるようになりました。品質の<br>良いお茶を生み出しているのは、お茶の栽培に適した気候と土壌。この<br>地域特有の香り高く良質な高級茶を育みます。<br>江戸時代、蒸した茶の芽を焙炉（ほいろ）で乾燥させ「手で揉む」煎茶の<br>製法（宇治茶製法）が開発され、宇治茶の素晴らしさが全国的に広まり、<br>煎茶の栽培が盛んになりました。南山城村の茶葉は新鮮な色合いと爽やかな<br>味と高い香り。14年連続で農林水産大臣賞を受賞する南山城村産の品質の<br>良さを証明しています。<br>南山城村では、村をあげて茶業を振興するほど、お茶に力を注いでいます！<br><br>■その南山城村の抹茶。<br>抹茶と粉末の緑茶は何が違うの？<br>粉末緑茶が煎茶の葉や粉茶（煎茶や玉露の仕上げの過程で生じる非常に細かい<br>茶葉）を粉砕し粉末状にしたものであるのに対し、抹茶はてん茶と呼ばれる葉を<br>粉砕加工したもの。てん茶は栽培時に覆いをすることにより、煎茶と比較して<br>渋み成分が抑えられ、より旨み成分や甘み成分が強いのが特徴です。<br><br>■茶葉の栄養をまるごと。<br>抹茶は茶葉をまるごと粉砕するので、お茶の栄養成分がそのまま入っています。<br>通常の浸出液（茶葉にお湯を注いだ、一般的にいう「お茶」のこと）ではお湯に<br>溶けずに茶殻に残ってしまう成分も抹茶として飲むことで余すことなく摂取する<br>ことができます。<br><br>■栄養を逃さない！！<br>ビタミン　ビタミンA、C、Eなど美容や健康に嬉しいビタミンがたくさん。<br>ミネラル　カリウム、カルシウム、鉄、ミネラルも豊富に含まれます。<br>カテキン　渋みに関わる成分。最近はダイエット等で注目されています。<br>テアニン　うま味や甘味に関わる成分。ホッと一息、リラックスしたい時に。<br>カフェイン　苦味に関わる成分。リフレッシュしたい時におすすめです。<br>食物繊維　不足しがちな食物繊維も手軽に摂取することができます。<br><br>京都府産の茶葉100％だから、茶葉以外の余計なものは入っていません！！<br>まるごと粉末にしているので、水に溶けない成分までしっかりと摂取できます。<br><br>■お飲みいただく際の目安<br>粉末抹茶2gに対してお湯80ml<br>あくまで目安ですので、お好みに合わせて抹茶やお湯の量を調節して下さい。<br><br>■粉末なので簡単に溶ける！！<br>ホットでもアイスでも美味しい。<br>※水では溶けにくいのでアイスでお飲みの場合は、少量のお湯で溶かしてから<br>水や氷を加えて下さい。<br>粒子が非常に細かいので、のどに残らずなめらかな舌触り。<br><br>■いろいろご利用下さい。<br>抹茶オレ　牛乳と合わせてお子様でも飲みやすい。<br>抹茶アイス　アイスに抹茶を好きなだけかけて。<br><br>飲用として使うのはもちろん、製菓用、料理用と幅広い用途でご利用いただけます！！<br>ホッと一息。<br>お一人でもご家族やご友人とでもホッと一息つきたい時におすすめです！！<br><br>■どうして徳用なの？お安くご提供ができる理由。<br>・通常（一般的な商品）<br>生産農家⇒農協⇒原料問屋⇒加工会社⇒問屋⇒販社⇒消費者<br>・こちらの商品<br>生産農家⇒⇒⇒⇒⇒⇒⇒⇒⇒加工会社⇒問屋⇒販社⇒消費者<br><br>農協を通さず、生産農家さんから直接茶葉を仕入れることで、通常かかるコストをカット！！<br>安くなった分お客様へ還元！！<br>是非お見逃しなく！！</p><a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a>",,,,
4560342331614,ベーキングパウダー 風と光 40g (10g×4) 2個セット  送料無料 アルミフリー 無添加 小分け 業務用,,"<a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a>

<img src=""https://image.rakuten.co.jp/shopk-net/cabinet/11370026/imgrc0102973371.jpg"" width=""100%""><img src=""http://r-asp02.item-robot.com/upload/images/1681/baking/main.png"" width="""" alt="""">
<img src=""http://r-asp02.item-robot.com/upload/images/1681/baking/sub1.png"" width="""" alt="""">
<img src=""http://r-asp02.item-robot.com/upload/images/1681/baking/sub2.png"" width="""" alt="""">
<img src=""http://r-asp02.item-robot.com/upload/images/1681/11348368/11393795/imgrc0100861325.jpg"" width="""" alt="""">
<p><b>こだわり素材でベーキングが変わる！</b></p>
<hr>
●アルミフリー・無添加で安心<br>
●40gの小分けパックで使いやすい<br>
●業務用品質を家庭で再現<br>
●パン・ケーキ・お菓子作りに万能<br>
●JANコード：4560342331614<br>
<hr>
<table>
<tr><th>商品名</th><td>風と光 ベーキングパウダー 40g</td></tr>
<tr><th>キーワード</th><td>ベーキングパウダー アルミフリー 無添加 小分け 業務用</td></tr>
<tr><th>内容量</th><td>40g</td></tr>
<tr><th>原材料</th><td>炭酸水素ナトリウム、酒石酸、コーンスターチ</td></tr>
<tr><th>JANコード</th><td>4560342331614</td></tr>
<tr><th>保存方法</th><td>直射日光・高温多湿を避け常温保存</td></tr>
</table>
<p>
●使い切りやすい40gで、いつでも新鮮な膨らみを実感。<br>
●アルミニウム不使用だから、ベビーやキッズのおやつにもおすすめ。<br>
●プロのベーカリーでも採用される品質をご家庭に。<br>
●ノンアルミ・無添加にこだわる風と光ブランドの自信作です。<br>
</p><a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a>",,,,
4571210902621,柿の種チョコ  おつまみ スイーツ チョコ ギフト プレゼント 4種ミックス 200g 天然生活 ミルク ホワイト 抹茶 イチゴ 贅沢 チョコレート スイーツ おやつ パーティー クリスマス おつまみ バレンタイン,"

<b>商品情報</b>
<p>
<b>品名：</b>柿の種チョコ(4種MIX)<br>
<b>名称：</b>準チョコレート
</p>

<b>原材料名</b>
<p>
【ミルク】準チョコレート(国内製造(砂糖、植物油脂、カカオマス、全粉乳、その他))、柿の種(でん粉、うるち米、醤油、その他)/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>
【ホワイト】準チョコレート(国内製造(砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター))、柿の種（でん粉、うるち米、醤油、その他）/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>
【ストロベリー】準チョコレート(国内製造(砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター))、柿の種（でん粉、うるち米、醤油、その他）、イチゴパウダー(イチゴ、デキストリン)、ココアバター/乳化剤、加工でん粉、着色料(アカビート、カラメル、パプリカ色素、紅麹)、香料、調味料(アミノ酸等)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>
【抹茶】準チョコレート(国内製造(砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター))、柿の種（でん粉、うるち米、醤油、その他）、抹茶/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)
</p>

<b>内容量</b>
<p>200g</p>

<b>賞味期限</b>
<p>製造より270日(約90日〜270日弱賞味期限が残ったものでのお届けとなります)</p>

<b>保存方法</b>
<p>直射日光・高温多湿を避けて28℃以下で保存してください。</p>

<b>販売元</b>
<p>
株式会社天然生活<br>
〒141-0032　東京都品川区大崎3-6-4　トキワビル7F
</p>

<b>取扱上の注意</b>
<p>
●チョコレートは、高温になると油脂分が溶け、冷えて固まると白くなることがあります。風味は劣りますが、召し上がっても身体にさしつかえございません。<br>
●開封後は、お早めにお召し上がりください。<br>
●本品製造工場では卵、落花生、アーモンド、オレンジ、カシューナッツ、くるみ、ごま、バナナ、マカダミアナッツ、りんご、ゼラチンを含む製品を製造しております。
</p>

<b>栄養成分表示 (100g当り)</b>
<table border=""1"" cellspacing=""0"" cellpadding=""6"">
<tr><th>エネルギー</th><td>543kcal</td></tr>
<tr><th>たんぱく質</th><td>5.8g</td></tr>
<tr><th>脂質</th><td>30.8g</td></tr>
<tr><th>炭水化物</th><td>60.8g</td></tr>
<tr><th>食塩相当量</th><td>0.5g</td></tr>
</table>
<p>（この表示値は、目安です。）</p>
","<a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a>

<img src=""https://image.rakuten.co.jp/shopk-net/cabinet/11370026/imgrc0102973371.jpg"" width=""100%""><center>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011401_01.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011401_02.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011401_03.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011401_04.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011401_05.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011401_06.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011401_07.jpg""><br>
</center>

<b>商品情報</b>
<p>
<b>品名：</b>柿の種チョコ(4種MIX)<br>
<b>名称：</b>準チョコレート
</p>

<b>原材料名</b>
<p>
【ミルク】準チョコレート(国内製造(砂糖、植物油脂、カカオマス、全粉乳、その他))、柿の種(でん粉、うるち米、醤油、その他)/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>
【ホワイト】準チョコレート(国内製造(砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター))、柿の種（でん粉、うるち米、醤油、その他）/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>
【ストロベリー】準チョコレート(国内製造(砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター))、柿の種（でん粉、うるち米、醤油、その他）、イチゴパウダー(イチゴ、デキストリン)、ココアバター/乳化剤、加工でん粉、着色料(アカビート、カラメル、パプリカ色素、紅麹)、香料、調味料(アミノ酸等)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>
【抹茶】準チョコレート(国内製造(砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター))、柿の種（でん粉、うるち米、醤油、その他）、抹茶/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)
</p>

<b>内容量</b>
<p>200g</p>

<b>賞味期限</b>
<p>製造より270日(約90日〜270日弱賞味期限が残ったものでのお届けとなります)</p>

<b>保存方法</b>
<p>直射日光・高温多湿を避けて28℃以下で保存してください。</p>

<b>販売元</b>
<p>
株式会社天然生活<br>
〒141-0032　東京都品川区大崎3-6-4　トキワビル7F
</p>

<b>取扱上の注意</b>
<p>
●チョコレートは、高温になると油脂分が溶け、冷えて固まると白くなることがあります。風味は劣りますが、召し上がっても身体にさしつかえございません。<br>
●開封後は、お早めにお召し上がりください。<br>
●本品製造工場では卵、落花生、アーモンド、オレンジ、カシューナッツ、くるみ、ごま、バナナ、マカダミアナッツ、りんご、ゼラチンを含む製品を製造しております。
</p>

<b>栄養成分表示 (100g当り)</b>
<table border=""1"" cellspacing=""0"" cellpadding=""6"">
<tr><th>エネルギー</th><td>543kcal</td></tr>
<tr><th>たんぱく質</th><td>5.8g</td></tr>
<tr><th>脂質</th><td>30.8g</td></tr>
<tr><th>炭水化物</th><td>60.8g</td></tr>
<tr><th>食塩相当量</th><td>0.5g</td></tr>
</table>
<p>（この表示値は、目安です。）</p>
<a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a>",,,,
4571210902638,柿の種チョコミルク  おつまみ スイーツ チョコレート ギフト プレゼント 250g 天然生活 贅沢 チョコレート スイーツ おやつ パーティー クリスマス おつまみ バレンタイン,"

<b>商品名</b><br>
柿の種チョコ(ミルク)<br><br>

<b>名称</b><br>
準チョコレート<br><br>

<b>原材料名</b><br>
準チョコレート(国内製造(砂糖、植物油脂、カカオマス、全粉乳、その他))、柿の種(でん粉、うるち米、醤油、その他)/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>

<b>内容量</b><br>
250g<br><br>

<b>賞味期限</b><br>
製造より270日(約90日〜270日弱賞味期限が残ったものでのお届けとなります)<br><br>

<b>保存方法</b><br>
直射日光・高温多湿を避けて28℃以下で保存してください。<br><br>

<b>販売元</b><br>
株式会社天然生活<br>
〒141-0032　東京都品川区大崎3-6-4　トキワビル7F<br><br>

<b>取扱上の注意</b><br>
●チョコレートは、高温になると油脂分が溶け、冷えて固まると白くなることがあります。<br>
風味は劣りますが、召し上がっても身体にさしつかえございません。<br>
開封後は、お早めにお召し上がりください。<br>
本品製造工場では卵、落花生、アーモンド、オレンジ、カシューナッツ、くるみ、ごま、バナナ、マカダミアナッツ、りんご、ゼラチンを含む製品を製造しております。<br><br>

<b>栄養成分表示 (100g当り)</b><br>
<table border=""1"" cellspacing=""0"" cellpadding=""6"">
<tr><th>エネルギー</th><td>544kcal</td></tr>
<tr><th>たんぱく質</th><td>5.4g</td></tr>
<tr><th>脂質</th><td>30.8g</td></tr>
<tr><th>炭水化物</th><td>61.4g</td></tr>
<tr><th>食塩相当量</th><td>0.4g</td></tr>
<tr><th>食塩相当量</th><td>0.5g</td></tr>
<tr><th>備考</th><td>（この表示値は、目安です。）</td></tr>
</table>
","<a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a>

<img src=""https://image.rakuten.co.jp/shopk-net/cabinet/11370026/imgrc0102973371.jpg"" width=""100%""><center>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011402_01.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011402_02.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011402_03.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011402_04.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011402_05.jpg""><br>
<img border=""0"" alt="""" src=""https://image.rakuten.co.jp/tennenlife/cabinet/item/sm2/sm00011402_06.jpg""><br>
</center>

<b>商品名</b><br>
柿の種チョコ(ミルク)<br><br>

<b>名称</b><br>
準チョコレート<br><br>

<b>原材料名</b><br>
準チョコレート(国内製造(砂糖、植物油脂、カカオマス、全粉乳、その他))、柿の種(でん粉、うるち米、醤油、その他)/乳化剤、加工でん粉、香料、調味料(アミノ酸等)、着色料(カラメル、パプリカ色素、紅麹)、香辛料抽出物、(一部に小麦・乳成分・大豆を含む)<br><br>

<b>内容量</b><br>
250g<br><br>

<b>賞味期限</b><br>
製造より270日(約90日〜270日弱賞味期限が残ったものでのお届けとなります)<br><br>

<b>保存方法</b><br>
直射日光・高温多湿を避けて28℃以下で保存してください。<br><br>

<b>販売元</b><br>
株式会社天然生活<br>
〒141-0032　東京都品川区大崎3-6-4　トキワビル7F<br><br>

<b>取扱上の注意</b><br>
●チョコレートは、高温になると油脂分が溶け、冷えて固まると白くなることがあります。<br>
風味は劣りますが、召し上がっても身体にさしつかえございません。<br>
開封後は、お早めにお召し上がりください。<br>
本品製造工場では卵、落花生、アーモンド、オレンジ、カシューナッツ、くるみ、ごま、バナナ、マカダミアナッツ、りんご、ゼラチンを含む製品を製造しております。<br><br>

<b>栄養成分表示 (100g当り)</b><br>
<table border=""1"" cellspacing=""0"" cellpadding=""6"">
<tr><th>エネルギー</th><td>544kcal</td></tr>
<tr><th>たんぱく質</th><td>5.4g</td></tr>
<tr><th>脂質</th><td>30.8g</td></tr>
<tr><th>炭水化物</th><td>61.4g</td></tr>
<tr><th>食塩相当量</th><td>0.4g</td></tr>
<tr><th>食塩相当量</th><td>0.5g</td></tr>
<tr><th>備考</th><td>（この表示値は、目安です。）</td></tr>
</table>
<a href=""https://link.rakuten.co.jp/0/147/363/"">
  <img 
    src=""https://image.rakuten.co.jp/shopk-net/cabinet/ecbig/imgrc0103816844.gif"" 
    width=""100%"" 
    alt=""""
  >
</a>",,,,
